TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,industry,other,service,workplace,superZone,IntExt,xi,yi,Students,area,socio,vehAdultFactor,SZ_new,ssz,settl_size,ORTHO,ARABS,REST,childEdu,adultEdu
336,2762,2256.8,8297.2,1314,1475.9,980.9,1439.1,2517.2,570.2,194.9825489,278.1994,705.304031,1178.399205,3,2,224.837371,760.722229,2340,3.5,3,1,3,3,2,0,1,0,2340,0
337,973.8,709.6,3310.7,556.4,623.5,412.4,571.5,952.5,194.4,52.47025144,81.38210419,274.3145066,408.1908687,3,2,229.97586,759.721374,2269,0.52,2,1,3,3,2,0,1,0,2269,0
338,1786.4,1301.9,6075.3,1021.1,1144.2,756.7,1048.6,1747.9,356.8,82.38039602,127.7731627,430.6847607,640.8760105,3,2,229.00354,759.764221,0,3.08,2,1,3,3,2,0,1,0,0,0
401,2773.1,1806.3,7506.5,1115.8,1298.1,922.4,1321.9,2362.4,485.8,106.1787733,15.67214366,495.0438379,616.8947549,4,1,222.868011,754.967163,1966,10.79,2,1,4,2,2,0,1,0,1966,0
402,2035.5,1787,9286.7,1465.3,1640.2,1082.4,1596.8,2938.1,563.9,234.5548676,76.00402282,248.0886028,558.7371206,4,1,219.968948,753.054077,1877,4.51,3,1,4,2,2,0,1,0,1877,0
403,3833.8,2981.6,10523.6,1570.3,1794.5,1233.6,1795.4,3417.1,712.7,137.4003545,84.2674866,221.9043814,443.5130874,4,1,220.189422,749.786437,1796,8.04,3,1,4,2,3,0,1,0,1796,0
404,2061.5,1584.1,6048.8,861.1,995.3,699,1020.9,2026.6,445.9,395.779176,141.2866313,657.57153,1195.049423,4,1,218.674789,746.839538,1058,3.99,3,1,4,2,2,0,1,0,1058,0
405,3111.7,2057.1,8366.2,1090.6,1293,950,1406.4,2917.4,708.8,215.128948,205.8047336,605.6539303,1026.50361,4,1,218.259506,745.781616,2840,2.9,3,1,4,2,3,0,1,0,2840,0
406,2655.9,1755.8,7140.8,930.9,1103.6,810.9,1200.4,2490.1,605,366.2262776,180.4735595,549.2780309,1095.977868,4,1,215.935821,746.753601,1625,4.4,3,1,4,2,3,0,1,0,1625,0
407,2593.5,2070,6972.3,908.9,1077.6,791.7,1172.1,2431.3,590.7,295.0924571,711.1244457,1082.166929,2088.383831,4,1,216.33879,745.582458,1394,0.92,3,1,4,2,3,0,1,0,1394,0
408,1152.5,743.6,3098.8,404,478.9,351.9,520.9,1080.6,262.5,410.1157395,472.928345,762.8623752,1645.79064,4,1,214.928604,745.646606,953,1.52,3,1,4,2,3,0,1,0,953,0
409,1458.9,1089.5,3922.2,511.3,606.2,445.4,659.3,1367.7,332.3,405.9430845,333.7960679,634.9763172,1374.818684,4,1,216.79895,744.808837,989,0.83,3,1,4,2,3,0,1,0,989,0
410,584.9,345.4,1209.1,222.2,238.4,143.6,135.6,388.7,80.5,127.6451139,0,0,127.6451139,4,1,219.213912,749.098388,60,1.37,9,1,4,2,1,0,0,1,60,0
411,2975.5,2612.3,6480.3,1022.5,1144.5,755.3,1114.2,2050.2,393.5,267.3799534,86.64050458,282.8076848,636.9303132,4,1,219.482162,752.303161,1740,2.72,3,1,4,2,2,0,1,0,1740,0
412,1719,1316.8,4718.1,704,804.6,553.1,804.9,1532,319.5,162.620426,99.73492879,262.6353125,524.9206778,4,1,218.32817,750.467651,1389,2.08,3,1,4,2,3,0,1,0,1390,0
413,1757.6,1315.8,4824.7,719.9,822.7,565.5,823.1,1566.6,326.7,631.9414663,387.5690077,1020.598387,2039.836883,4,1,219.914291,751.146179,1534,2.94,3,1,4,2,3,0,1,0,1534,0
414,1448.6,1104.5,3976.4,593.4,678.1,466.1,678.4,1291.2,269.3,185.6893861,113.8830967,299.8921547,599.3847197,4,1,219.081909,751.000305,1660,0.45,3,1,4,2,3,0,1,0,1660,0
415,3762.1,2641.6,10326.8,1540.9,1761,1210.5,1761.8,3353.2,699.4,395.5949467,242.6179467,638.8939262,1276.936561,4,1,218.171875,751.542053,2944,1.26,3,1,4,2,3,0,1,0,2944,0
416,0,0,0,0,0,0,0,0,0,255.5122579,156.7053874,412.65752,824.7651966,4,1,215.891738,751.571472,0,13.02,3,1,4,2,3,0,0,1,0,0
417,1263.2,866.8,3466.8,517.3,591.2,406.4,591.5,1125.7,234.8,357.2179369,219.0813687,576.9142708,1153.059835,4,1,216.894851,751.579406,787,1.43,3,1,4,2,3,0,1,0,787,0
418,1320.9,996.5,3874.8,551.6,637.6,447.7,654,1298.2,285.7,253.5354461,90.50796826,421.239169,765.5465649,4,1,218.374267,747.627502,441,0.44,3,1,4,2,2,0,1,0,441,0
419,1543.8,1132.4,4529.5,644.8,745.3,523.4,764.5,1517.6,333.9,296.2927235,105.7716104,492.2787032,894.6515376,4,1,217.389114,747.917358,1952,7.65,3,1,4,2,2,0,1,0,1953,0
420,0,0,0,0,0,0,0,0,0,16.18728484,15.48568835,45.57216857,77.23882106,4,1,218.58255,744.607299,0,1.98,3,1,4,2,3,0,0,1,0,0
421,1985.7,1198.4,5338.2,695.9,825,606.2,897.4,1861.5,452.3,106.879617,102.2471932,300.8988828,509.9839595,4,1,217.273712,746.282043,360,0.99,3,1,4,2,3,0,1,0,360,0
422,3450.5,2488.8,9277.2,1209.4,1433.8,1053.4,1559.6,3235,786,263.9472104,304.3729011,490.9721245,1059.217696,4,1,215.262802,744.749633,698,1.68,3,1,4,2,3,0,1,0,698,0
423,810.5,544.7,2179.1,284.1,336.8,247.4,366.3,759.9,184.6,304.8331031,250.6560527,476.8200484,1032.386711,4,1,217.816955,744.111877,0,4.56,3,1,4,2,3,0,1,0,0,0
501,1484.5,1641.1,4923.4,533.4,594,387.9,534.1,1733.9,1140.2,24.22603589,16.47370441,75.23637706,115.9361174,5,1,208.092529,751.385192,642,0.44,8,1,5,1,3,0,0,1,642,0
502,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,207.883193,751.737915,0,0.68,0,1,5,1,1,0,0,1,0,0
503,1202,1366.8,3986.6,431.9,481,314.1,432.4,1404,923.3,380.632512,105.2036118,460.7528552,946.5889789,5,1,208.006744,750.81134,135,0.41,3,1,5,1,3,0,0,1,135,0
504,1241.2,1403.4,4116.7,446,496.7,324.3,446.5,1449.8,953.4,50.36004939,62.56854621,505.8895871,618.8181827,5,1,207.210769,751.141601,636,1,6,1,5,1,3,0,0,1,636,0
505,1360.8,1547.5,4513.4,489,544.5,355.6,489.6,1589.5,1045.3,179.92865,206.5925223,139.4079622,525.7191828,5,1,207.523056,750.056213,1793,0.43,7,1,5,1,3,0,0,1,1793,0
506,660.6,730.3,2190.9,237.4,264.3,172.6,237.7,771.6,507.4,26.03294605,39.90096405,138.9234785,204.8573886,5,1,207.077102,750.851135,79,0.19,3,1,5,1,3,0,0,1,79,0
